Period;Currency;Rate
2018-06-06;MXN;23.9686
2018-06-10;USD;1.1754
2018-06-14;AUD;1.5514
2018-06-15;SEK;10.1713
2018-06-27;SEK;10.3503
2018-06-30;AUD;1.5787
2018-06-29;GBP;0.88605
2018-07-03;SEK;10.3123
2018-07-05;CAD;1.5374
2018-07-13;CAD;1.5358
2018-07-14;MXN;22.1768
2018-07-23;GBP;0.8917
2018-07-30;USD;1.1684
2018-08-03;MXN;21.63
2018-08-04;MXN;21.63
2018-08-07;SEK;10.3245
2018-08-13;SEK;10.4093
2018-08-17;GBP;0.89575
2018-08-18;GBP;0.89575
2018-08-20;MXN;21.63
2018-08-21;AUD;1.5657
2018-08-25;GBP;0.902
2018-09-01;AUD;1.6129
2018-08-31;MXN;22.3628
2018-09-05;AUD;1.6144
2018-09-12;SEK;10.474
2018-09-23;CAD;1.5197
2018-09-29;GBP;0.8873
2018-10-01;USD;1.1606
2018-10-01;AUD;1.607
2018-10-07;AUD;1.627
2018-10-06;MXN;21.88
2018-10-09;CAD;1.4861
2018-10-14;GBP;0.8764
2018-10-20;AUD;1.6065
2018-10-22;MXN;22.182
2018-10-22;SEK;10.331
2018-10-26;USD;1.1345
2018-10-27;USD;1.1345
2018-10-30;GBP;0.89148
2018-11-01;MXN;22.9917
2018-11-12;SEK;10.2705
2018-11-20;GBP;0.88908
2018-11-25;USD;1.1352
2018-12-03;CAD;1.4931
2018-12-05;SEK;10.1753
2018-12-12;GBP;0.90135
2018-12-18;SEK;10.276
2018-12-21;USD;1.1414
2019-01-10;AUD;1.6031
2019-01-17;CAD;1.5153
2019-01-18;AUD;1.585
2019-02-07;AUD;1.5954
2019-02-12;CAD;1.4969
2019-02-13;GBP;0.87553
2019-02-21;SEK;10.6188
2019-02-25;CAD;1.4924
2019-02-26;AUD;1.5897
2019-02-27;SEK;10.5443
2019-03-05;AUD;1.6017
2019-03-28;USD;1.1218
2022-01-26;USD;1.1277
2022-01-27;AUD;1.5771
2022-02-01;AUD;1.5868
2022-02-02;MXN;23.2134
2022-02-04;CAD;1.4583
2022-02-10;SEK;10.5275
2022-02-13;SEK;10.553
2022-02-25;USD;1.1216
2022-03-02;GBP;0.83316
2022-03-13;USD;1.099
2022-03-16;AUD;1.5165
2022-03-24;USD;1.0978
2022-03-31;CAD;1.3896
2022-04-06;USD;1.0923
2022-04-07;SEK;10.313
2022-04-14;GBP;0.82908
2022-04-19;GBP;0.82955
2022-04-20;USD;1.083
2022-04-28;GBP;0.8435
2022-05-08;GBP;0.85625
2022-05-06;MXN;21.3555
2022-05-10;USD;1.0554
2022-05-30;SEK;10.518
2022-05-31;USD;1.0713
2022-06-05;AUD;1.4805
2022-06-04;GBP;0.8542
2022-06-13;AUD;1.4998
2022-06-15;MXN;21.4763
2022-06-18;MXN;21.4474
2022-06-20;AUD;1.5061
2022-06-21;SEK;10.646
2022-06-22;USD;1.0521
2022-06-25;SEK;10.694
2022-07-04;CAD;1.3435
2022-07-07;MXN;20.9675
2022-07-18;MXN;20.7095
2022-08-06;GBP;0.84268
2022-08-06;SEK;10.3573
2022-08-11;SEK;10.36
2022-08-14;GBP;0.84715
2022-08-15;MXN;20.3914
2022-08-22;SEK;10.65
2022-08-28;USD;1.0007
2022-08-28;AUD;1.4333
2022-08-31;MXN;20.2044
2022-09-03;SEK;10.7498
2022-09-09;AUD;1.4704
2008-02-19;MXN;15.8287
2008-02-21;SEK;9.3136
2008-02-22;AUD;1.6079
2008-02-23;AUD;1.6079
2008-03-12;GBP;0.7666
2008-03-12;SEK;9.3978
2008-03-25;SEK;9.419
2008-03-27;AUD;1.7088
2008-04-01;CAD;1.6069
2008-04-07;USD;1.5693
2008-04-25;USD;1.5596
2008-05-01;MXN;
2008-05-01;SEK;
2008-05-11;GBP;0.7938
2008-05-12;GBP;0.78885
2008-05-13;USD;1.5473
2008-05-19;AUD;1.6325
2008-05-22;CAD;1.5494
2008-05-23;USD;1.5742
2008-05-28;AUD;1.6339
2008-05-29;USD;1.5551
2008-05-30;SEK;9.328
2008-06-05;CAD;1.5727
2008-06-09;SEK;9.348
2008-06-15;USD;1.5336
2008-06-23;CAD;1.5768
2008-06-24;AUD;1.6326
2008-06-26;MXN;16.1715
2008-07-02;USD;1.5806
2008-07-02;SEK;9.4538
2008-07-07;USD;1.5651
2008-07-14;CAD;1.5995
2008-07-14;SEK;9.4674
2008-07-26;GBP;0.7888
2008-07-31;MXN;15.6375
2008-08-05;CAD;1.6168
2008-08-08;AUD;1.6885
2008-08-16;USD;1.4729
2008-08-17;CAD;1.5685
2008-08-24;GBP;0.7966
2008-09-03;USD;1.4441
2008-09-12;GBP;0.7962
2008-09-16;GBP;0.7975
2008-09-18;USD;1.4502
2008-10-01;GBP;0.7919
2008-10-02;SEK;9.7273
2008-10-08;USD;1.3731
2008-10-17;CAD;1.5936
2008-10-19;GBP;0.7751
2008-10-18;SEK;10.0191
2008-10-25;AUD;2.0506
2008-10-31;USD;1.2757
2008-11-06;GBP;0.805
2008-11-10;SEK;9.9747
2008-11-28;SEK;10.3057
2008-12-01;AUD;1.9649
2008-12-11;GBP;0.8869
2008-12-12;CAD;1.6598
2008-12-15;USD;1.351
2008-12-15;SEK;10.865
2008-12-27;AUD;
2008-12-30;USD;1.4098
2008-12-31;SEK;10.87
2009-01-06;AUD;1.8727
2009-01-15;CAD;1.6373
2009-01-15;MXN;18.62
2009-01-19;AUD;1.9628
2009-01-19;CAD;1.6492
2009-01-24;USD;1.2795
2009-01-30;AUD;2.0115
2009-02-02;CAD;1.585
2009-02-07;USD;1.2796
2009-02-11;MXN;18.8571
2009-02-15;MXN;18.3946
2009-02-20;USD;1.2591
2009-02-20;CAD;1.5911
2009-02-27;USD;1.2644
2009-03-01;USD;1.2644
2009-02-27;AUD;1.9891
2009-03-01;CAD;1.5985
2009-03-06;USD;1.2658
2009-03-07;AUD;1.9783
2009-04-04;AUD;1.8813
2009-04-05;SEK;10.7751
2009-04-13;CAD;
2009-04-14;CAD;1.6117
2009-04-21;AUD;1.8509
2009-04-22;CAD;1.6106
2009-05-11;USD;1.3574
2009-05-15;SEK;10.6372
2009-05-24;GBP;0.8781
2009-05-25;GBP;0.8803
2009-05-29;AUD;1.7671
2009-05-31;AUD;1.7671
2009-06-10;GBP;0.8583
2009-06-24;MXN;18.6351
2009-06-30;AUD;1.7359
2009-07-11;CAD;1.6212
2009-07-11;MXN;19.0303
2009-07-11;SEK;11.0022
2009-07-16;MXN;19.1829
2009-08-16;SEK;10.1835
2009-08-22;GBP;0.8657
2009-08-31;CAD;1.5793
2009-09-03;MXN;19.412
2009-09-06;AUD;1.6915
2009-09-07;SEK;10.1955
2009-09-09;CAD;1.569
2009-09-11;USD;1.4594
2009-09-15;SEK;10.2438
2009-09-19;CAD;1.5752
2009-09-26;CAD;1.6035
2009-10-02;AUD;1.6838
2009-10-05;USD;1.4616
2009-10-07;MXN;19.8597
2009-10-12;CAD;1.5248
2009-10-18;USD;1.4869
2009-10-21;CAD;1.5754
2009-10-29;MXN;19.5135
2009-11-02;CAD;1.5958
2009-11-04;USD;1.4761
2009-11-07;AUD;1.6235
2009-11-07;SEK;10.387
2009-11-12;USD;1.4922
2009-11-12;AUD;1.6062
2009-11-21;MXN;19.3928
2009-11-30;USD;1.5023
2009-12-03;CAD;1.5873
2009-12-12;USD;1.4757
2009-12-22;USD;1.4279
2009-12-23;SEK;10.4511
2009-12-24;AUD;1.6294
2009-12-26;CAD;
2010-01-13;AUD;1.5729
2010-01-17;AUD;1.5547
2010-01-21;CAD;1.474
2010-01-21;SEK;10.1375
2010-01-26;MXN;18.1882
2010-01-27;CAD;1.4973
2010-01-31;USD;1.3966
2010-01-29;MXN;18.1907
2010-02-02;SEK;10.1229
2010-02-06;AUD;1.5822
2010-02-13;CAD;1.4269
2010-02-21;AUD;1.5171
2010-03-05;GBP;0.9025
2010-03-09;MXN;17.2072
2010-03-12;AUD;1.4991
2010-03-12;CAD;1.4013
2010-03-17;USD;1.3756
2010-03-18;USD;1.366
2010-03-20;USD;1.3548
2010-03-20;GBP;0.8945
2010-03-23;CAD;1.3777
2010-03-23;GBP;0.9005
2010-03-28;CAD;1.3721
2010-03-30;AUD;1.465
2010-03-31;GBP;0.8898
2010-04-08;CAD;1.3407
2010-04-09;GBP;0.872
2010-04-12;CAD;1.3688
2010-04-13;GBP;0.8812
2010-04-15;SEK;9.7069
2010-04-18;MXN;16.4924
2010-04-19;USD;1.3432
2010-04-19;CAD;1.368
2010-04-23;CAD;1.3337
2010-05-02;GBP;0.8703
2010-05-04;GBP;0.86325
2010-05-10;MXN;16.208
2010-05-12;GBP;0.8494
2010-05-16;AUD;1.4015
2010-05-26;CAD;1.309
2010-06-06;USD;1.206
2010-06-04;MXN;15.4645
2010-06-24;SEK;9.5741
2010-06-25;CAD;1.2799
2010-06-30;MXN;15.7363
2010-07-01;CAD;1.3124
2010-07-08;CAD;1.3213
2010-07-12;AUD;1.4398
2010-07-19;USD;1.2957
2010-07-23;SEK;9.441
2010-07-26;SEK;9.4862
2010-08-06;USD;1.3176
2010-08-12;GBP;0.8206
2010-08-16;USD;1.282
2010-08-22;USD;1.2711
2010-08-20;CAD;1.3326
2010-08-22;CAD;1.3326
2010-08-23;CAD;1.3292
2010-08-23;SEK;9.394
2010-09-01;SEK;9.349
2010-09-06;CAD;1.332
2010-09-13;CAD;1.3185
2010-09-20;USD;1.3074
2010-09-26;AUD;1.4047
2010-10-02;AUD;1.4114
2010-10-07;SEK;9.3208
2010-10-08;AUD;1.4252
2010-10-12;AUD;1.4076
2010-10-19;AUD;1.4159
2010-10-21;AUD;1.4208
2010-10-24;USD;1.3934
2010-10-31;CAD;1.415
2010-11-01;MXN;17.1951
2010-11-09;CAD;1.3931
2010-11-16;USD;1.3612
2010-11-19;MXN;16.8213
2010-11-29;GBP;0.844
2010-12-03;USD;1.3246
2010-12-09;AUD;1.3432
2010-12-13;GBP;0.84375
2010-12-17;SEK;9.0223
2010-12-21;MXN;16.3017
2011-01-08;SEK;8.9378
2011-01-18;GBP;0.83565
2011-01-22;CAD;1.3475
2011-01-24;SEK;8.953
2011-02-01;USD;1.3755
2011-02-05;CAD;1.3448
2011-02-07;SEK;8.805
2011-02-11;SEK;8.8022
2011-02-14;USD;1.344
2011-02-14;CAD;1.328
2011-02-26;USD;1.3762
2011-02-28;CAD;1.3535
2011-03-27;AUD;1.3807
2011-03-29;SEK;8.985
2011-04-11;CAD;1.3812
2011-04-29;CAD;1.4102
2005-07-30;GBP;0.6893
2005-07-29;MXN;12.8169
2005-08-01;AUD;1.6057
2005-08-02;USD;1.2217
2005-08-05;CAD;1.51
2005-08-05;MXN;13.1167
2005-08-14;AUD;1.6105
2005-08-18;AUD;1.6169
2005-08-27;GBP;0.68185
2005-09-04;AUD;1.6411
2005-09-09;SEK;9.337
2005-09-13;MXN;13.1525
2005-10-01;GBP;0.68195
2005-10-02;SEK;9.3267
2005-10-03;USD;1.1933
2005-10-23;SEK;9.49
2005-11-07;AUD;1.6138
2005-11-12;AUD;1.5989
2005-11-11;MXN;12.4991
2005-11-13;SEK;9.5888
2005-11-14;SEK;9.5458
2005-11-15;GBP;0.6732
2005-11-23;SEK;9.5162
2005-12-09;GBP;0.6732
2005-12-12;USD;1.1925
2005-12-16;USD;1.1983
2005-12-24;USD;1.1859
2005-12-23;AUD;1.627
2005-12-23;MXN;12.6514
2005-12-29;CAD;1.3796
2006-01-01;AUD;1.6109
2006-01-02;USD;1.1826
2006-01-04;MXN;12.8048
2006-01-08;AUD;1.6174
2006-01-06;MXN;12.8747
2006-01-10;USD;1.2064
2006-01-15;AUD;1.604
2006-01-18;GBP;0.6864
2006-01-27;USD;1.2172
2006-02-06;GBP;0.6833
2006-02-14;CAD;1.3788
2006-02-25;MXN;12.4873
2006-02-27;AUD;1.6072
2006-03-01;GBP;0.6806
2006-03-01;SEK;9.4475
2006-03-04;SEK;9.4603
2006-03-07;SEK;9.4733
2006-03-12;CAD;1.3867
2006-03-21;SEK;9.373
2006-03-22;CAD;1.4139
2006-03-26;USD;1.1969
2006-03-24;GBP;0.6908
2006-03-24;SEK;9.373
2006-04-22;AUD;1.6623
2006-04-22;CAD;1.4008
2006-04-28;GBP;0.6942
2006-05-02;CAD;1.4005
2006-05-21;CAD;1.4321
2006-05-21;MXN;14.2069
2006-05-27;USD;1.2797
2006-05-26;GBP;0.685
2006-06-02;GBP;0.68685
2006-06-08;CAD;1.424
2006-06-10;USD;1.2659
2006-06-10;GBP;0.68685
2006-06-15;AUD;1.7078
2006-06-19;AUD;1.706
2006-06-20;MXN;14.4316
2006-06-22;SEK;9.2349
2006-06-24;USD;1.2502
2006-06-26;USD;1.2561
2006-07-17;AUD;1.6753
2006-07-17;SEK;9.2365
2006-07-22;MXN;13.7855
2006-07-25;USD;1.2636
2006-07-29;AUD;1.6652
2006-07-31;GBP;0.6843
2006-08-04;CAD;1.4492
2006-08-13;MXN;13.8336
2006-08-19;AUD;1.6879
2006-08-18;CAD;1.4372
2006-08-21;GBP;0.6808
2006-08-28;SEK;9.2465
2006-09-03;USD;1.2817
2006-09-03;SEK;9.316
2006-09-11;GBP;0.6816
2006-09-17;GBP;0.6739
2006-09-18;AUD;1.6821
2006-09-20;USD;1.2676
2006-09-20;AUD;1.6844
2006-09-21;GBP;0.6706
2006-09-24;AUD;1.7013
2006-09-30;USD;1.266
2006-10-03;MXN;13.9963
2006-10-06;USD;1.2664
2006-10-17;AUD;1.6616
2006-10-19;CAD;1.4266
2006-10-19;GBP;0.6723
2006-11-03;GBP;0.6688
2006-11-11;SEK;9.0888
2006-11-15;CAD;1.4572
2006-11-15;MXN;13.9102
2006-11-18;AUD;1.6706
2006-11-20;USD;1.2841
2006-11-21;USD;1.2814
2006-11-22;GBP;0.6749
2006-12-06;AUD;1.6892
2006-12-06;CAD;1.5177
2006-12-10;CAD;1.5269
2006-12-10;GBP;0.6776
2006-12-08;MXN;14.4508
2006-12-17;SEK;9.0633
2006-12-20;MXN;14.2822
2006-12-23;GBP;0.6715
2006-12-23;MXN;14.2948
2006-12-27;CAD;1.5297
2007-01-08;GBP;0.6731
2007-01-10;GBP;0.6702
2007-01-16;GBP;0.6592
2007-01-23;CAD;1.5399
2007-01-29;SEK;9.0725
2007-02-04;MXN;14.2932
2007-02-05;AUD;1.6683
2007-02-06;USD;1.2955
2007-02-23;AUD;1.663
2007-02-23;CAD;1.522
2007-03-08;MXN;14.6508
2007-03-09;USD;1.3155
2007-03-14;USD;1.3183
2007-03-20;MXN;14.7769
2007-03-22;USD;1.3351
2007-03-27;AUD;1.649
2007-03-28;AUD;1.6532
2007-04-01;MXN;14.6566
2007-04-05;GBP;0.6797
2007-04-16;MXN;14.8689
2007-04-17;GBP;0.6763
2007-04-19;CAD;1.5312
2007-04-20;SEK;9.1953
2007-04-23;SEK;9.1979
2007-04-26;CAD;1.5236
2007-04-27;CAD;1.5235
2007-05-03;CAD;1.5086
2007-05-06;USD;1.3561
2007-05-05;GBP;0.6828
2007-05-15;USD;1.3538
2007-05-17;GBP;0.68385
2007-05-21;AUD;1.6408
2007-05-22;MXN;14.4538
2007-05-25;AUD;1.6399
2007-05-29;CAD;1.4614
2007-06-05;AUD;1.6122
2007-06-11;AUD;1.5849
2007-06-20;CAD;1.431
2007-06-23;MXN;14.5233
2007-06-25;CAD;1.4424
2007-07-01;SEK;9.2525
2007-07-04;CAD;1.4415
2007-07-09;AUD;1.5832
2007-07-12;GBP;0.6783
2007-07-20;GBP;0.6722
2007-08-01;USD;1.3663
2007-08-12;SEK;9.2924
2007-08-14;AUD;1.6184
2007-08-16;CAD;1.4469
2007-08-19;CAD;1.4416
2007-08-18;MXN;15.0673
2007-08-18;SEK;9.359
2007-08-20;SEK;9.3296
2007-08-22;AUD;1.6752
2007-08-25;USD;1.3615
2007-09-01;MXN;15.1357
2007-09-03;USD;1.3632
2007-09-03;SEK;9.382
2007-09-07;USD;1.3696
2007-09-13;GBP;0.68525
2007-09-22;AUD;1.6324
2007-09-29;CAD;1.4122
2007-10-01;SEK;9.194
2007-10-04;SEK;9.1755
2007-10-05;USD;1.4136
2007-10-07;GBP;0.69285
2007-10-08;MXN;15.2825
2007-10-09;GBP;0.69185
2007-10-16;CAD;1.3878
2007-10-19;USD;1.4288
2007-10-21;GBP;0.6973
2007-11-07;AUD;1.5703
2007-11-07;MXN;15.8028
2007-11-08;USD;1.4666
2007-11-10;CAD;1.379
2007-11-16;SEK;9.2587
2007-11-20;GBP;0.71715
2003-07-28;MXN;12.0295
2003-08-04;USD;1.1307
2003-08-04;GBP;0.7015
2003-08-08;GBP;0.70335
2003-08-25;AUD;1.6723
2003-09-02;MXN;11.9833
2003-09-03;USD;1.0783
2003-09-12;AUD;1.6934
2003-09-14;MXN;12.2886
2003-09-17;USD;1.1212
2003-10-05;GBP;0.7002
2003-10-18;AUD;1.6813
2003-10-20;USD;1.1629
2003-10-31;GBP;0.6863
2003-11-11;USD;1.1497
2003-11-11;AUD;1.6111
2003-11-11;CAD;1.5104
2003-11-12;AUD;1.621
2003-11-14;CAD;1.5292
2003-11-18;CAD;1.5424
2003-11-22;USD;1.1899
2003-12-01;SEK;9.0187
2003-12-08;SEK;8.9327
2003-12-11;SEK;8.9817
2003-12-14;AUD;1.6493
2003-12-14;CAD;1.6059
2003-12-25;SEK;
2003-12-27;USD;
2004-01-02;AUD;1.6683
2004-01-05;GBP;0.7026
2004-01-09;MXN;13.8327
2004-01-10;MXN;13.8327
2004-01-26;AUD;1.6254
2004-02-02;CAD;1.6604
2004-02-04;SEK;9.1838
2004-02-08;SEK;9.1175
2004-02-10;CAD;1.6898
2004-02-12;GBP;0.6774
2004-02-13;AUD;1.6194
2004-02-15;MXN;14.0495
2004-02-22;MXN;13.9238
2004-02-28;MXN;13.7461
2004-03-01;GBP;0.6683
2004-03-16;CAD;1.643
2004-03-22;SEK;9.2185
2004-04-05;GBP;0.6636
2004-04-10;GBP;
2004-04-13;MXN;13.45
2004-04-27;SEK;9.1142
2004-04-28;USD;1.1907
2004-04-28;AUD;1.6304
2004-05-01;AUD;1.6577
2004-04-30;GBP;0.6737
2004-04-30;SEK;9.1483
2004-05-03;GBP;0.675
2004-05-07;GBP;0.6719
2004-05-11;MXN;13.7452
2004-05-14;AUD;1.7199
2004-05-15;CAD;1.6476
2004-05-17;GBP;0.6796
2004-05-20;AUD;1.7179
2004-05-26;MXN;13.8281
2004-05-27;SEK;9.087
2004-05-28;MXN;13.9904
2004-06-06;GBP;0.66385
2004-06-05;SEK;9.1467
2004-06-12;AUD;1.7334
2004-06-13;GBP;0.65935
2004-06-18;GBP;0.65595
2004-06-26;USD;1.2138
2004-06-25;GBP;0.6666
2004-06-27;GBP;0.6666
2004-07-12;SEK;9.2002
2004-07-20;SEK;9.2091
2004-07-23;GBP;0.6632
2004-08-16;SEK;9.2389
2004-08-22;SEK;9.1985
2004-08-23;USD;1.225
2004-08-25;AUD;1.7122
2004-08-25;MXN;13.7274
2004-09-02;CAD;1.5884
2004-09-14;AUD;1.749
2004-09-16;USD;1.2158
2004-09-20;MXN;13.871
2004-10-04;CAD;1.5608
2004-10-06;USD;1.2282
2004-10-07;AUD;1.6917
2004-10-08;USD;1.2315
2004-10-18;AUD;1.7103
2004-10-18;SEK;9.0985
2004-10-20;USD;1.259
2004-10-22;USD;1.2606
2004-10-25;AUD;1.7127
2004-10-26;SEK;9.0427
2004-10-29;MXN;14.678
2004-11-04;MXN;14.6973
2004-11-07;USD;1.2856
2004-11-10;USD;1.2977
2004-11-25;MXN;14.8888
2004-11-27;CAD;1.5631
2004-11-28;CAD;1.5631
2004-12-07;MXN;14.993
2004-12-16;CAD;1.6436
2004-12-24;GBP;0.7033
2004-12-27;MXN;15.1015
2005-01-02;SEK;9.0206
2005-01-03;AUD;1.7329
2005-01-12;CAD;1.5997
2005-01-17;AUD;1.7243
2005-01-17;SEK;9.0432
2005-01-25;MXN;14.6823
2005-01-30;SEK;9.0875
2005-02-12;MXN;14.339
2005-02-13;SEK;9.0975
2005-02-18;GBP;0.6891
2005-02-26;CAD;1.6358
2005-02-28;USD;1.3257
2005-03-17;USD;1.3378
2005-03-20;AUD;1.6802
2005-03-26;CAD;
2005-03-25;SEK;
2005-03-29;MXN;14.597
2005-03-30;USD;1.2943
2005-04-05;USD;1.281
2005-04-11;GBP;0.6864
2005-04-13;GBP;0.68335
2005-04-21;AUD;1.6872
2005-04-23;USD;1.3077
2005-04-25;USD;1.2966
2005-04-30;MXN;14.3676
2005-05-09;CAD;1.5876
2005-05-13;CAD;1.584
2005-05-14;CAD;1.584
2005-05-14;SEK;9.2067
2005-05-17;SEK;9.226
2005-05-28;SEK;9.1975
2005-05-31;MXN;13.4272
2005-06-11;AUD;1.5952
2005-06-19;SEK;9.2403
2005-07-02;USD;1.2087
2005-07-01;AUD;1.596
2005-07-09;USD;1.1904
2005-07-31;USD;1.2093
2011-04-14;GBP;0.8825
2011-05-02;AUD;1.3553
2011-05-07;GBP;0.8839
2011-05-13;GBP;0.87795
2011-05-22;CAD;1.3799
2011-05-20;MXN;16.5655
2011-05-21;SEK;8.9324
2011-05-23;SEK;8.9155
2011-05-29;GBP;0.86685
2011-05-27;SEK;8.9108
2011-06-03;USD;1.4488
2011-06-04;AUD;1.3592
2011-06-04;SEK;8.997
2011-06-11;SEK;9.0885
2011-06-19;CAD;1.3967
2011-07-01;GBP;0.905
2011-07-08;CAD;1.3645
2011-07-14;AUD;1.3202
2011-07-14;GBP;0.88095
2011-07-23;SEK;9.0787
2011-08-07;MXN;17.0327
2011-08-08;SEK;9.2259
2011-08-09;MXN;17.7385
2011-08-12;AUD;1.378
2011-08-12;CAD;1.4063
2011-08-17;CAD;1.4167
2011-08-17;GBP;0.8776
2011-08-21;AUD;1.3783
2011-08-24;USD;1.4433
2011-08-30;CAD;1.4101
2011-09-08;USD;1.4044
2011-09-09;AUD;1.3125
2011-09-12;USD;1.3656
2011-09-13;USD;1.3645
2011-09-21;GBP;0.8731
2011-09-26;USD;1.35
2011-09-27;SEK;9.1774
2011-09-29;CAD;1.4049
2011-10-01;AUD;1.3874
2011-10-09;USD;1.3434
2011-10-11;CAD;1.3988
2011-10-11;SEK;9.1202
2011-10-13;USD;1.3727
2011-10-17;USD;1.3776
2011-10-17;MXN;18.2857
2011-10-19;SEK;9.1245
2011-10-23;USD;1.3798
2011-10-21;AUD;1.3401
2011-10-28;USD;1.416
2011-10-29;USD;1.416
2011-10-29;GBP;0.87935
2011-11-27;USD;1.3229
2011-12-04;USD;1.3511
2011-12-02;GBP;0.8602
2011-12-29;CAD;1.3189
2011-12-29;SEK;8.9414
2011-12-30;GBP;0.8353
2012-01-19;AUD;1.2391
2012-01-24;GBP;0.8346
2012-01-28;USD;1.3145
2012-02-04;USD;1.316
2012-02-14;MXN;16.7766
2012-02-17;AUD;1.223
2012-02-23;USD;1.33
2012-02-24;USD;1.3412
2012-03-01;GBP;0.8349
2012-03-14;AUD;1.2474
2012-03-17;GBP;0.8295
2012-03-29;USD;1.3272
2012-03-30;GBP;0.8339
2012-04-04;GBP;0.8285
2012-04-11;CAD;1.3166
2012-04-14;USD;1.3148
2012-04-18;CAD;1.2966
2012-04-21;GBP;0.81875
2012-04-24;AUD;1.2775
2012-05-03;GBP;0.81125
2012-05-07;SEK;8.9105
2012-05-10;USD;1.2961
2012-05-12;AUD;1.2877
2012-05-29;MXN;17.4445
2012-05-29;SEK;8.9865
2012-06-12;MXN;17.5712
2012-06-13;AUD;1.2565
2012-06-19;CAD;1.2889
2012-06-21;USD;1.267
2012-07-08;CAD;1.2559
2012-07-13;SEK;8.5746
2012-07-17;AUD;1.1941
2012-07-17;CAD;1.2463
2012-07-17;SEK;8.6046
2012-07-23;SEK;8.4508
2012-08-01;CAD;1.232
2012-08-02;SEK;8.334
2012-08-03;GBP;0.78745
2012-08-11;SEK;8.2077
2012-08-13;GBP;0.78615
2012-08-19;CAD;1.2195
2012-08-31;SEK;8.3362
2012-09-04;MXN;16.5518
2012-09-07;SEK;8.4865
2002-03-18;MXN;7.9717
2002-03-24;SEK;9.0175
2002-03-27;GBP;0.6139
2002-03-29;AUD;
2002-04-03;SEK;9.0632
2002-04-17;SEK;9.1438
2002-04-22;USD;0.8882
2002-04-23;AUD;1.6492
2002-04-29;CAD;1.413
2002-05-06;CAD;1.431
2002-05-14;GBP;0.624
2002-05-18;MXN;8.6353
2002-05-17;SEK;9.219
2002-05-19;SEK;9.219
2002-05-20;SEK;9.2125
2002-05-22;USD;0.926
2002-05-28;MXN;8.8424
2002-06-03;AUD;1.6424
2002-06-06;SEK;9.152
2002-06-09;MXN;9.236
2002-06-11;GBP;0.643
2002-06-18;GBP;0.6393
2002-06-23;CAD;1.4728
2002-06-25;AUD;1.7026
2002-06-28;AUD;1.7702
2002-07-21;USD;1.0146
2002-07-24;SEK;9.5451
2002-07-26;GBP;0.6337
2002-08-01;AUD;1.8121
2002-08-11;CAD;1.529
2002-08-19;SEK;9.2218
2002-08-30;USD;0.9833
2002-09-07;SEK;9.2255
2002-09-17;CAD;1.5217
2002-09-26;GBP;0.6274
2002-09-29;AUD;1.7948
2002-09-27;MXN;9.9389
2002-10-10;MXN;10.0971
2002-10-14;MXN;9.9929
2002-10-15;AUD;1.7948
2002-10-16;CAD;1.559
2002-10-17;USD;0.9763
2002-10-21;SEK;9.0678
2002-10-22;SEK;9.109
2002-11-02;MXN;10.1898
2002-11-06;USD;0.9955
2002-11-10;MXN;10.3475
2002-11-11;CAD;1.5905
2002-11-18;MXN;10.2538
2002-11-26;CAD;1.5573
2002-11-28;MXN;10.0672
2002-12-06;GBP;0.6377
2002-12-09;CAD;1.5752
2002-12-18;USD;1.024
2002-12-18;AUD;1.812
2002-12-23;GBP;0.6446
2002-12-26;AUD;
2002-12-27;AUD;1.8446
2002-12-27;MXN;10.6587
2003-01-04;GBP;0.65
2003-01-03;SEK;9.106
2003-01-13;AUD;1.8109
2003-01-24;GBP;0.6606
2003-01-27;AUD;1.8338
2003-01-31;USD;1.0816
2003-02-05;USD;1.091
2003-02-08;AUD;1.8281
2003-02-09;GBP;0.6628
2003-02-08;MXN;11.7266
2003-02-22;USD;1.0838
2003-02-22;GBP;0.679
2003-02-27;SEK;9.1203
2003-02-28;USD;1.0782
2003-03-04;USD;1.0919
2003-03-16;AUD;1.8075
2003-03-18;USD;1.0586
2003-03-22;SEK;9.164
2003-03-30;AUD;1.7853
2003-03-31;MXN;11.7443
2003-04-03;GBP;0.6853
2003-04-04;USD;1.072
2003-04-05;SEK;9.1982
2003-04-16;USD;1.0836
2003-04-22;CAD;1.5904
2003-04-22;SEK;9.141
2003-05-02;GBP;0.6998
2003-05-02;MXN;11.5111
2003-05-02;SEK;9.1168
2003-05-13;CAD;1.6015
2003-05-28;CAD;1.6243
2003-05-31;SEK;9.15
2003-06-08;USD;1.1813
2003-06-09;USD;1.1726
2003-06-14;SEK;9.068
2003-06-16;USD;1.1854
2003-06-23;SEK;9.0965
2003-06-24;GBP;0.694
2003-06-24;MXN;12.0947
2003-06-28;CAD;1.5448
2003-06-27;MXN;11.9246
2003-07-03;CAD;1.5394
2003-07-05;USD;1.1466
2003-07-20;MXN;11.6135
2012-09-17;GBP;0.80695
2012-09-18;CAD;1.2732
2012-09-21;AUD;1.2365
2012-09-27;MXN;16.5225
2012-09-29;CAD;1.2684
2012-09-30;CAD;1.2684
2012-09-30;MXN;16.6086
2012-09-28;SEK;8.4498
2012-10-07;USD;1.3002
2012-10-17;GBP;0.8115
2012-10-18;CAD;1.2843
2012-10-22;GBP;0.8145
2012-10-26;AUD;1.2486
2012-10-30;CAD;1.2961
2012-11-03;SEK;8.5955
2012-11-06;AUD;1.2263
